family,dataset,metric,direction,first,second,comparison,n_paired,mean_paired_diff_second_minus_first,median_paired_diff_second_minus_first,raw_p,bh_q,raw_sig,bh_sig,bh_q_lt_0.001,bh_q_lt_0.01,bh_q_lt_0.05
all7,ETIS-LaribPolypDB,boundary_dice,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,196,0.01721791287,6.432687284e-13,4.863302254e-05,0.0002182251012,True,True,True,True,True
all7,ETIS-LaribPolypDB,boundary_dice,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,196,0.0120792753,3.248626604e-13,6.454348733e-11,8.688546371e-10,True,True,True,True,True
all7,ETIS-LaribPolypDB,boundary_dice,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,196,0.01432481256,2.39617525e-12,9.376720266e-19,5.469753488e-17,True,True,True,True,True
all7,ETIS-LaribPolypDB,boundary_dice,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,196,0.005138637561,4.00810075e-13,0.01142294321,0.02530398813,True,True,False,False,True
all7,ETIS-LaribPolypDB,dice,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,196,0.01547717934,3.55540632e-14,1.345260856e-05,7.133959087e-05,True,True,True,True,True
all7,ETIS-LaribPolypDB,dice,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,196,0.01779880548,1.226285203e-13,5.287701902e-09,4.406418252e-08,True,True,True,True,True
all7,ETIS-LaribPolypDB,dice,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,196,0.002404602379,1.25441811e-14,1.265064259e-09,1.383664033e-08,True,True,True,True,True
all7,ETIS-LaribPolypDB,dice,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,196,0.002321626144,3.179554339e-14,6.993772515e-12,1.22391019e-10,True,True,True,True,True
all7,ETIS-LaribPolypDB,dice,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,196,0.0153942031,4.257209777e-14,2.330464045e-05,0.0001126611466,True,True,True,True,True
all7,ETIS-LaribPolypDB,hd95,lower_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,196,-5.079051999,0.6947519857,0.4312937804,0.5278070739,False,False,False,False,False
all7,ETIS-LaribPolypDB,hd95,lower_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,196,-5.390769896,0.06007367485,0.1203858055,0.1932799629,False,False,False,False,False
all7,ETIS-LaribPolypDB,hd95,lower_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,196,-0.5752784113,-0.6187861369,0.0006499998732,0.002321428118,True,True,False,True,True
all7,ETIS-LaribPolypDB,hd95,lower_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,196,-0.3117178976,-0.4608931708,0.03918310699,0.0770454351,True,False,False,False,False
all7,ETIS-LaribPolypDB,hd95,lower_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,196,-4.815491485,0.1126423402,0.3430058752,0.4413678541,False,False,False,False,False
all7,ETIS-LaribPolypDB,iou,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,196,0.01984818589,3.55540632e-14,9.675793598e-06,5.441650853e-05,True,True,True,True,True
